main_category,category,sku,item_name,usd_price,upc,item_weight,item_length,item_width,item_height,part_number,manufacturer,brand_name,part_number,product_description
Units,Pumps,23026,PMP XPDS-30 208-230V 2.5HP 2SP UP RATED,696.6,7.88E+11,60,30.5,13,17.5,23026,Pentair,Pentair,23026,PMP XPDS-30 208-230V 2.5HP 2SP UP RATED
Units,Pumps,23027,PMP XP-30 208-230V 2.5HP STD UP RATED,547.98,7.88E+11,55,30.5,13,17.5,23027,Pentair,Pentair,23027,PMP XP-30 208-230V 2.5HP STD UP RATED
Units,Pumps,23028,PMP XPE-30 208-230v 2.5hp EE Up-Rated,595.94,7.88E+11,55,30.5,13,17.5,23028,Pentair,Pentair,23028,PMP XPE-30 208-230v 2.5hp EE Up-Rated
Units,Lights,05082-0025,LT 300W 12V CLR LENS 25' ,171.05,7.88E+11,9,12,12,11,05082-0025,Pentair,Pentair,05082-0025,LT 300W 12V CLR LENS 25' 
Units,Lights,05082-0050,LT 300W 12V CLR LENS 50' ,188.82,7.88E+11,12,12,12,11,05082-0050,Pentair,Pentair,05082-0050,LT 300W 12V CLR LENS 50' 
Units,Lights,05082-0100,LT 300W 12V CLR LENS 100 ,200.24,7.88E+11,19,12,12,11,05082-0100,Pentair,Pentair,05082-0100,LT 300W 12V CLR LENS 100 
Units,Lights,05086-0025,LT 500W 120V CLR LENS 25',147.49,7.88E+11,9,12,12,11,05086-0025,Pentair,Pentair,05086-0025,LT 500W 120V CLR LENS 25'
Units,Lights,05086-0050,LT 500W 120V CLR LENS 50',162.86,7.88E+11,10,12,12,11,05086-0050,Pentair,Pentair,05086-0050,LT 500W 120V CLR LENS 50'
Units,Lights,05086-0100,LT 500W 120V CLR LENS 100',193.55,7.88E+11,14,12,12,11,05086-0100,Pentair,Pentair,05086-0100,LT 500W 120V CLR LENS 100'
Units,Lights,05086-0150,500W 120V CLR LENS 150' ,228.47,7.88E+11,18,12,12,11,05086-0150,Pentair,Pentair,05086-0150,500W 120V CLR LENS 150' 
Units,Lights,05086-0250,500W 120V CLR LENS 250' ,234.87,7.88E+11,1,N/A,N/A,N/A,05086-0250,Pentair,Pentair,05086-0250,500W 120V CLR LENS 250' 
Units,Lights,05603-2030,LT UW 12V 75W 30'SUNLT ,146.29,7.88E+11,4.55,8.5,8.25,8.5,05603-2030,Pentair,Pentair,05603-2030,LT UW 12V 75W 30'SUNLT 
Units,Lights,05603-2050,LT UW 12V 75W 50' SUNLT ,158.26,7.88E+11,4.55,8.5,8.25,8.5,05603-2050,Pentair,Pentair,05603-2050,LT UW 12V 75W 50' SUNLT 
Units,Lights,05603-2100,LT UW 12V 75W 100' SUNLT ,195.83,7.88E+11,11,12,12,11,05603-2100,Pentair,Pentair,05603-2100,LT UW 12V 75W 100' SUNLT 
Units,Lights,05605-2030,LT UW 120V 100W 30'SNLT ,146.29,7.88E+11,4,8.5,8.25,8.5,05605-2030,Pentair,Pentair,05605-2030,LT UW 120V 100W 30'SNLT 
Units,Lights,05605-2050,LT UW 120V 100W 50'SNLT ,152.94,7.88E+11,4,8.5,8.25,8.5,05605-2050,Pentair,Pentair,05605-2050,LT UW 120V 100W 50'SNLT 
Units,Lights,05605-2100,LT UW 120V 100W 100'SNLT ,183.75,7.88E+11,5,12,12,11,05605-2100,Pentair,Pentair,05605-2100,LT UW 120V 100W 100'SNLT 
Units,Lights,05605-2250,LT UW 120V 100W 250'SNLT ,246.46,7.88E+11,17.5,14,14,10,05605-2250,Pentair,Pentair,05605-2250,LT UW 120V 100W 250'SNLT 
Units,Lights,05607-2030,LT UW 120V 250W 30'SNLT ,144.95,7.88E+11,5,8.5,8.25,8.5,05607-2030,Pentair,Pentair,05607-2030,LT UW 120V 250W 30'SNLT 
Units,Lights,05607-2050,LT UW 120V 250W 50'SNLT ,152.93,7.88E+11,6,8.5,8.25,8.5,05607-2050,Pentair,Pentair,05607-2050,LT UW 120V 250W 50'SNLT 
Units,Lights,05607-2100,LT UW 120V 250W 100'SNLT ,183.75,7.88E+11,13,12,12,11,05607-2100,Pentair,Pentair,05607-2100,LT UW 120V 250W 100'SNLT 
Units,Lights,05607-2250,LT UW 120V 250W 250'SNLT ,248.95,7.88E+11,17.5,14,14,10,05607-2250,Pentair,Pentair,05607-2250,LT UW 120V 250W 250'SNLT 
Units,Pumps,70112,PWREND INTELLIFLO VF ASY ,1036.28,7.88E+11,N/A,N/A,N/A,N/A,70112,Pentair,Pentair,70112,PWREND INTELLIFLO VF ASY 
Units,Pumps,70118,PWREND INTELLIFLO VRBLE SPD,857.11,7.88E+11,40,28,12.5,15,70118,Pentair,Pentair,70118,PWREND INTELLIFLO VRBLE SPD
Units,Pumps,70119,PWREND INTELLIFLO I1 ,856.7,7.88E+11,40,28,12.5,15,70119,Pentair,Pentair,70119,PWREND INTELLIFLO I1 
Units,Pumps,70209,PWREND INTELLIPRO VRBLE SPD,857.11,7.88E+11,N/A,N/A,N/A,N/A,70209,Pentair,Pentair,70209,PWREND INTELLIPRO VRBLE SPD
Units,Pumps,071320S,MTR PKG W/SWTCH SQFL 1.5 HPF 2A 60HZ 2SP ALMD 23,216.51,7.88E+11,36.5,22.5,9.25,11.5,071320S,Pentair,Pentair,071320S,MTR PKG W/SWTCH SQFL 1.5 HPF 2A 60HZ 2SP ALMD 23
